DE TOPICS,DE GUID,Active DE Topic?,News External,News GUID,Gov External,Gov GUID,Finance External,Finance GUID,Corporate Security External,CS GUID,PR External,PR Guid
+ Aviation - Physical - Non-Matching,188421,1,,,Infrastructure Security - Uncategorized Infrastructure Security,400063,,,Infrastructure Security - Uncategorized Infrastructure Security,853035,,
+ Rail - Physical - Non-Matching,188422,1,,,Infrastructure Security - Uncategorized Infrastructure Security,400063,,,Infrastructure Security - Uncategorized Infrastructure Security,853035,,
+ Electricity - Disruptions,188423,1,Outages & Service Disruptions - Electricity,67177469537839061,Outages & Service Disruptions - Electricity,400085,,,Outages & Service Disruptions - Electricity,853036,,
+ Gas - Disruptions,188424,1,Outages & Service Disruptions - Gas,67177469537839062,Outages & Service Disruptions - Gas,400086,,,Outages & Service Disruptions - Gas,853038,,
+ Water - Disruptions,188425,1,Outages & Service Disruptions - Water,67177469537839063,Outages & Service Disruptions - Water,400087,,,Outages & Service Disruptions - Water,853039,,
Telecommunications - Disruptions - Non-Matching,188426,0,,,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,400088,,,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,853040,,
+ Infrastructure - Utilities - Gas & Electricity - Non-Matching,188427,1,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,67177469537839064,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,400088,,,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,853040,,
+ Infrastructure - Utilities - Water - Non-Matching,188428,1,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,67177469537839064,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,400088,,,Outages & Service Disruptions - Uncategorized Outages & Service Disruptions,853040,,
+ Earthquakes,188429,1,Weather & Natural Disasters - Earthquakes,67177469537839072,Severe Weather & Natural Disasters - Earthquakes|Disasters and Weather - Earthquakes,400094|8672449468060180886,,,Severe Weather & Natural Disasters - Earthquakes,853041,,
+ Hurricanes & Tropical Storms,188430,1,Weather & Natural Disasters - Hurricanes & Tropical Storms,67177469537839077,Severe Weather & Natural Disasters - Hurricanes & Tropical Storms|Disasters and Weather - Hurricanes and Tropical Storms,400099|8672449468060180887,,,Severe Weather & Natural Disasters - Hurricanes & Tropical Storms,853042,,
+ Wildfires,188431,1,Weather & Natural Disasters - Wildfires,67177469537839084,Severe Weather & Natural Disasters - Wildfires|Disasters and Weather - Wildfires,400106|8672449468060180888,,,Severe Weather & Natural Disasters - Wildfires,853043,,
+ Tornados,188432,1,Weather & Natural Disasters - Tornados,67177469537839080,Severe Weather & Natural Disasters - Tornados|Disasters and Weather - Tornados,400102|8672449468060180889,,,Severe Weather & Natural Disasters - Tornados,853044,,
+ Floods,188433,1,Weather & Natural Disasters - Floods,67177469537839075,Severe Weather & Natural Disasters - Floods|Disasters and Weather - Floods,400097|8672449468060180890,,,Severe Weather & Natural Disasters - Floods,853045,,
+ Tsunamis,188434,1,Weather & Natural Disasters - Tsunamis,67177469537839081,Severe Weather & Natural Disasters - Tsunamis|Disasters and Weather - Tsunamis,400103|8672449468060180891,,,Severe Weather & Natural Disasters - Tsunamis,853046,,
+ Thunderstorms,188435,1,Weather & Natural Disasters - Thunderstorms,67177469537839079,Severe Weather & Natural Disasters - Thunderstorms|Disasters and Weather - Thunderstorms,400101|8672449468060180892,,,Severe Weather & Natural Disasters - Thunderstorms,853047,,
+ Volcanos,188436,1,Weather & Natural Disasters - Volcanos,67177469537839082,Severe Weather & Natural Disasters - Volcanos|Disasters and Weather - Volcanos,400104|8672449468060180893,,,Severe Weather & Natural Disasters - Volcanos,853048,,
+ Winter Storms,188437,1,Weather & Natural Disasters - Winter Storms,67177469537839086,Severe Weather & Natural Disasters - Winter Storms|Disasters and Weather - Winter Storms,400107|8672449468060180894,,,Severe Weather & Natural Disasters - Winter Storms,853049,,
+ Extreme Heat,188438,1,Weather & Natural Disasters - Extreme Heat,67177469537839074,Severe Weather & Natural Disasters - Extreme Heat|Disasters and Weather - Extreme Heat,400096|8672449468060180895,,,Severe Weather & Natural Disasters - Extreme Heat,853050,,
+ Extreme Cold,188439,1,Weather & Natural Disasters - Extreme Cold,67177469537839073,Severe Weather & Natural Disasters - Extreme Cold|Disasters and Weather - Extreme Cold,400095|8672449468060180896,,,Severe Weather & Natural Disasters - Extreme Cold,853051,,
+ Weather Advisories,188440,1,Weather & Natural Disasters - Weather Advisories,67177469537839083,Severe Weather & Natural Disasters - Weather Advisories|Disasters and Weather - Weather Advisories,400105|8672449468060180897,,,Severe Weather & Natural Disasters - Weather Advisories,853052,,
+ Air Quality,188441,1,Weather & Natural Disasters - Air Quality,67177469537839071,Severe Weather & Natural Disasters - Air Quality|Disasters and Weather - Air Quality,400093|8672449468060180898,,,Severe Weather & Natural Disasters - Air Quality,853053,,
+ Landslides & Avalanches,188442,1,Weather & Natural Disasters - Landslides & Avalanches,67177469537839078,Severe Weather & Natural Disasters - Landslides & Avalanches|Disasters and Weather - Landslides and Avalanches,400100|8672449468060180899,,,Severe Weather & Natural Disasters - Landslides & Avalanches,853054,,
+ High Winds,188443,1,Weather & Natural Disasters - High Winds,67177469537839076,Severe Weather & Natural Disasters - High Winds|Disasters and Weather - High Winds,400098|8672449468060180900,,,Severe Weather & Natural Disasters - High Winds,853055,,
+ Natural Disasters - Non-Matching,188444,1,Weather & Natural Disasters - Uncategorized Weather & Natural Disasters,67177469537839087,Severe Weather & Natural Disasters - Uncategorized Severe Weather & Natural Disasters|Disasters and Weather - Uncategorized Disasters and Weather,400108|8672449468060180901,,,Severe Weather & Natural Disasters - Uncategorized Severe Weather & Natural Disasters,853099,,
+ Aviation - Logistics,188445,1,,,Transportation - Aviation - Logistics,400117,,,Transportation - Aviation - Logistics,853056,,
+ Aviation - Safety,188446,1,,,Transportation - Aviation - Safety,400118,,,Transportation - Aviation - Safety,853057,,
+ Maritime - Logistics,188447,1,,,Transportation - Maritime - Logistics,400119,,,Transportation - Maritime - Logistics,853059,,
+ Maritime - Safety,188448,1,,,Transportation - Maritime - Safety,400120,,,Transportation - Maritime - Safety,853060,,
+ Rail - Logistics,188449,1,,,Transportation - Rail - Logistics,400121,,,Transportation - Rail - Logistics,853061,,
+ Rail - Safety,188450,1,,,Transportation - Rail - Safety,400122,,,Transportation - Rail - Safety,853062,,
+ Roadways - Logistics,188451,1,,,Transportation - Roadways - Logistics,400123,,,Transportation - Roadways - Logistics,853063,,
+ Roadways - Safety,188452,1,,,Transportation - Roadways - Safety,400124,,,Transportation - Roadways - Safety,853064,,
Travel Safety Advisories - Natural Disasters,188453,0,,,Transportation - Travel Safety Advisories,400125,,,Transportation - Travel Safety Advisories,853066,,
+ Travel Safety Advisories - US Politics,188454,1,,,Transportation - Travel Safety Advisories,400125,,,Transportation - Travel Safety Advisories,853066,,
+ Travel Safety Advisories - International Politics,188455,1,,,Transportation - Travel Safety Advisories,400125,,,Transportation - Travel Safety Advisories,853066,,
+ Travel Safety Advisories - International Affairs,188456,1,,,Transportation - Travel Safety Advisories,400125,,,Transportation - Travel Safety Advisories,853066,,
+ Maritime - Non-Matching,188457,1,,,Transportation - Uncategorized Transportation,400126,,,Transportation - Uncategorized Transportation,853067,,
+ Roadways - Non-Matching,188458,1,,,Transportation - Uncategorized Transportation,400126,,,Transportation - Uncategorized Transportation,853067,,
+ US Politics - Non-Matching,188459,1,,,,,,,,,,
+ International Politics - Non-Matching,188460,1,,,,,,,,,,
+ International Affairs - Non-Matching,188461,1,,,,,,,,,,
Travel - Non-Matching,188462,0,,,Transportation - Uncategorized Transportation,400126,,,Transportation - Uncategorized Transportation,853067,,
Stadiums & Arenas - Physical,188465,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Transportation & Infrastructure|Infrastructure Security - Stadiums & Arenas,410010|400061,,,Transportation & Infrastructure|Infrastructure - Commercial|Infrastructure Security - Stadiums & Arenas,726708|124029|853031,,
International Election Risks - R&D,188369,0,,,,,,,Election Integrity - Misleading Info,961909,,
International Election Risks - Public,188370,0,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,"Politics and International Affairs - International Politics|Politics|Government, Policy & Political Affairs - International Politics",144668406703009042|410007|400036,Politics - International,8615442703870115732,"Government, Policy, and Political Affairs - International Politics|Politics|Election Integrity - Misleading Info|Government, Policy, & Political Affairs - International Politics|Politics & Policy",124017|201466|961909|853089|963003,,
International Elections [DEPRECATING],188371,0,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,"Politics and International Affairs - International Politics|Politics|Government, Policy & Political Affairs - International Politics",144668406703009042|410007|400036,Politics - International,8615442703870115732,"Government, Policy, and Political Affairs - International Politics|Politics|Election Integrity - Situational Awareness|Government, Policy, & Political Affairs - International Politics|Politics & Policy",124017|201466|961910|853089|963003,,
+ Arson - Fires & Collapses,188463,1,Crime & Public Safety,67177469537839053,Crime - Arson,400012,,,Crime - Arson,853003,,
Infrastructure Commercial - Other,188464,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,,,,,Infrastructure - Commercial|Transportation & Infrastructure,124029|726708,,
Infrastructure Industrial - Other,188466,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Industrials|Transportation & Infrastructure,154036|410010,Infrastructure - Industrials,2083026482131242178,Infrastructure - Resources and Production|Transportation & Infrastructure,124012|726708,,
+ Emergency Response - Fires & Collapses,188467,1,Crime & Public Safety,67177469537839053,Transportation & Infrastructure|Crime - Emergency Response,410010|400016,,,Crime - Emergency Response,853011,,
+ Explosions - Active,188468,1,,,Hazards - Explosions,400042,,,Hazards - Explosions,853013,,
+ Explosions - Non-Active,188469,1,,,Hazards - Explosions,400042,,,Hazards - Explosions,853013,,
+ Wildfires - Fires & Collapses,188470,1,Weather & Natural Disasters - Wildfires,67177469537839084,Severe Weather & Natural Disasters - Wildfires,400106,,,Severe Weather & Natural Disasters - Wildfires,853043,,
Metals - Commodities ,188471,1,,,Commodities - Uncategorized Commodities,400007,,,Commodities - Uncategorized Commodities,853103,,
Cyber - Hacktivists - Threat Actors,188472,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Threat Actors - Hacktivists,204296875911565365|410003|420039,,,Cybersecurity|Hacktivists|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Threat Actors - Hacktivists,124022|962001|124030|853086|963136,Public Safety and Unrest - Cybersecurity,200015
Cyber - DDoS - Attack Vector,188473,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|DDoS Attacks,204296875911565365|410003|420001,,,Cybersecurity|DDoS|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity|DDoS Attacks,124022|962002|124031|853084|963131,Public Safety and Unrest - Cybersecurity,200015
Cyber - Defacement - Attack Vector,188474,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Defacement,204296875911565365|410003|420002,,,Cybersecurity|Defacement|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity,124022|962003|124031|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Domain Impersonation - Attack Vector,188475,1,,,Domain Impersonation,420003,,,Domain Impersonation,962004,Public Safety and Unrest - Cybersecurity,200015
Cyber - Network Scans - Attack Vector,188476,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Attack Vector - Network Scans,204296875911565365|410003|420006,,,Cybersecurity|Network Scans|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity,124022|962005|124031|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Government Advisories - Legal and Policy,188477,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Policy & Legal - Government Advisories|Technology - Regulations,204296875911565365|410003|420035|154021,,,Cybersecurity|Government Advisories|Cybersecurity - Policy|Cybersecurity - Policy|Policy & Legal - Government Advisories,124022|962006|124032|853085|963132,Public Safety and Unrest - Cybersecurity,200015
Cyber - Legal Action - Legal and Policy,188478,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Policy & Legal - Legal Action|Technology - Regulations,204296875911565365|410003|420036|154021,,,Cybersecurity|Legal Action|Cybersecurity - Policy|Cybersecurity - Policy|Policy & Legal - Legal Action,124022|962007|124032|853085|963133,Public Safety and Unrest - Cybersecurity,200015
Cyber - Policy and Compliance - Legal and Policy,188479,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Policy & Legal - Policy and Compliance|Technology - Regulations,204296875911565365|410003|420037|154021,,,Cybersecurity|Policy and Compliance|Cybersecurity - Policy|Cybersecurity - Policy|Policy & Legal - Policy and Compliance,124022|962008|124032|853085|963134,Public Safety and Unrest - Cybersecurity,200015
Cyber - Exploits - Vulnerabilities,188480,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Exploits,204296875911565365|410003|420045,,,Cybersecurity|Exploits|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities,124022|962009|124030|853086,Public Safety and Unrest - Cybersecurity,200015
Cyber - Bug Bounties - Vulnerabilities,188481,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Bug Bounties,204296875911565365|410003|420041,,,Cybersecurity|Bug Bounties|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities,124022|962010|124030|853086,Public Safety and Unrest - Cybersecurity,200015
Cyber - Fraud - Illicit Sales and Services,188482,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Fraud,204296875911565365|410003|420030,,,Cybersecurity|Fraud|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity,124022|962011|124031|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Hacking Services - Illicit Sales and Services,188483,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Illicit Sales & Services - Hacking Services,204296875911565365|410003|420031,,,Cybersecurity|Hacking Services|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity,124022|962012|124031|853084,Public Safety and Unrest - Cybersecurity,200015
Cyber - Industrial Control Systems and Operational Technology - Cyber-Physical,188484,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|ICS Vulnerabilities,204296875911565365|410003|420008,,,Cybersecurity|Industrial Control Systems and Operational Technology|Cybersecurity - Crime and Malicious Activity|Cybersecurity - Crime & Malicious Activity|ICS Vulnerabilities,124022|962013|124031|853084|963160,Public Safety and Unrest - Cybersecurity,200015
Cyber - Internet of Things - Cyber-Physical,188485,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Internet of Things,204296875911565365|410003|420009,,,Cybersecurity|Internet of Things|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Internet of Things,124022|962014|124030|853086|963154,Public Safety and Unrest - Cybersecurity,200015
Cyber - Airports - Cyber-Physical,188486,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Airports,204296875911565365|410003|420010,,,Cybersecurity|Airports|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Airports,124022|962015|124030|853086|963137,Public Safety and Unrest - Cybersecurity,200015
Cyber - Banks - Cyber-Physical,188487,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Banks,204296875911565365|410003|420011,,,Cybersecurity|Banks|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Banks,124022|962016|124030|853086|963138,Public Safety and Unrest - Cybersecurity,200015
Cyber - Convention Centers - Cyber-Physical,188488,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Convention Centers,204296875911565365|410003|420012,,,Cybersecurity|Convention Centers|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Convention Centers,124022|962017|124030|853086|963139,Public Safety and Unrest - Cybersecurity,200015
Cyber - Data Centers - Cyber-Physical,188489,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Data Centers,204296875911565365|410003|420013,,,Cybersecurity|Data Centers|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Data Centers,124022|962018|124030|853086|963140,Public Safety and Unrest - Cybersecurity,200015
Cyber - Factories - Cyber-Physical,188490,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Factories,204296875911565365|410003|420014,,,Cybersecurity|Factories|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Factories,124022|962019|124030|853086|963141,Public Safety and Unrest - Cybersecurity,200015
Cyber - Government Buildings - Cyber-Physical,188491,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Government Buildings,204296875911565365|410003|420015,,,Cybersecurity|Government Buildings|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Government Buildings,124022|962020|124030|853086|963142,Public Safety and Unrest - Cybersecurity,200015
Cyber - Hospitals - Cyber-Physical,188492,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Hospitals,204296875911565365|410003|420016,,,Cybersecurity|Hospitals|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Hospitals,124022|962021|124030|853086|963143,Public Safety and Unrest - Cybersecurity,200015
Cyber - Hotels - Cyber-Physical,188493,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Hotels,204296875911565365|410003|420017,,,Cybersecurity|Hotels|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Hotels,124022|962022|124030|853086|963144,Public Safety and Unrest - Cybersecurity,200015
Cyber - Mines - Cyber-Physical,188494,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Mines,204296875911565365|410003|420018,,,Cybersecurity|Mines|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Mines,124022|962023|124030|853086|963145,Public Safety and Unrest - Cybersecurity,200015
Cyber - Pipelines - Cyber-Physical,188495,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Pipelines,204296875911565365|410003|420019,,,Cybersecurity|Pipelines|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Pipelines,124022|962024|124030|853086|963146,Public Safety and Unrest - Cybersecurity,200015
Cyber - Ports - Cyber-Physical,188496,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Ports,204296875911565365|410003|420020,,,Cybersecurity|Ports|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Ports,124022|962025|124030|853086|963147,Public Safety and Unrest - Cybersecurity,200015
Cyber - Power plants - Cyber-Physical,188497,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Power Plants,204296875911565365|410003|420021,,,Cybersecurity|Power plants|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Power Plants,124022|962026|124030|853086|963148,Public Safety and Unrest - Cybersecurity,200015
Cyber - Refineries - Cyber-Physical,188498,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Refineries,204296875911565365|410003|420022,,,Cybersecurity|Refineries|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Refineries,124022|962027|124030|853086|963149,Public Safety and Unrest - Cybersecurity,200015
Cyber - Retail - Cyber-Physical,188499,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Retail,204296875911565365|410003|420023,,,Cybersecurity|Retail|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Retail,124022|962028|124030|853086|963150,Public Safety and Unrest - Cybersecurity,200015
Cyber - Schools - Cyber-Physical,188500,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Schools,204296875911565365|410003|420024,,,Cybersecurity|Schools|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Schools,124022|962029|124030|853086|963151,Public Safety and Unrest - Cybersecurity,200015
Cyber - Stadiums & Arenas - Cyber-Physical,188501,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Stadiums & Arenas,204296875911565365|410003|420025,,,Cybersecurity|Stadiums & Arenas|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Stadiums & Arenas,124022|962030|124030|853086|963152,Public Safety and Unrest - Cybersecurity,200015
Cyber - Train Stations - Cyber-Physical,188502,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Critical Infrastructure - Train Stations,204296875911565365|410003|420026,,,Cybersecurity|Train Stations|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities|Critical Infrastructure - Train Stations,124022|962031|124030|853086|963153,Public Safety and Unrest - Cybersecurity,200015
Cyber - Uncategorized - Cyber-Physical,188503,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Cybersecurity|Cyber-Physical - Uncategorized,204296875911565365|410003|420027,,,Cybersecurity|Uncategorized|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities,124022|962032|124030|853086,Public Safety and Unrest - Cybersecurity,200015
World Cup,188504,1,,,,,,,,,,
+ World Cup - Brand Risk,188505,1,,,,,,,World Cup - Brand Risk,853104,,
+ World Cup - Cyber,188506,1,,,,,,,World Cup - Cyber,853105,,
+ World Cup - Outages & Service Disruptions,188507,1,,,,,,,World Cup - Outages & Service Disruptions,853106,,
+ World Cup - Politics,188508,1,,,,,,,World Cup - Politics,853107,,
+ World Cup - Security,188509,1,,,,,,,World Cup - Security,853108,,
+ World Cup - Transportation,188510,1,,,,,,,World Cup - Transportation,853109,,
+ Data Security,188511,1,,,,,,,Data Security,900000,,
+ Emerging & Trending,188512,1,,,,,,,Emerging & Trending,900001,,
+ Employee Relations,188513,1,,,,,,,Employee Relations,900002,,
+ Executive Reputation,188514,1,,,,,,,Executive Reputation,900003,,
+ Fraud,188515,1,,,,,,,Fraud,900004,,
+ Impersonation,188516,1,,,,,,,Impersonation,900005,,
+ Media Coverage,188517,1,,,Media Coverage,410005,,,Media Coverage|Media Exposure|Media Exposure,900006|500004|500008,,
"+ Misinformation, Conspiracy Theories & Extremism",188518,1,,,,,,,"Misinformation, Conspiracy Theories & Extremism",900007,,
+ Negative Sentiment,188519,1,,,,,,,Negative Sentiment|Narrative Risk|Narrative Risk,900008|500005|500009,,
+ Organizational Engagement,188520,1,,,,,,,Organizational Engagement,900009,,
+ Outages & Service Disruptions,188521,1,,,Outages & Service Disruptions,410006,,,Outages & Service Disruptions,900010,,
+ Platform Integrity,188522,1,,,,,,,Platform Integrity,900011,,
+ Public Figure Engagement,188523,1,,,,,,,Public Figure Engagement,900012,,
+ Resale,188524,1,,,,,,,Resale,900013,,
Emerging Vulnerabilities ,188525,1,Cybersecurity|Tech,67177469537839054|67177469537839048,Technology - Cybersecurity|Emerging Vulnerabilities,204296875911565365|420043,,,Emerging Vulnerabilities|Cybersecurity - Threats and Vulnerabilities|Cybersecurity - Threats & Vulnerabilities,962033|124030|853086,,
Trending Vulnerabilities,188526,1,,,Trending Vulnerabilities,420047,,,Trending Vulnerabilities,962034,,
Trust & Safety Incidents - R&D,188527,1,,,,,,,Platform Incidents ,962035,,
Crisis Events - R&D,188528,1,,,,,,,Crisis Events,962036,,
Eval topic 1,188529,1,,,,,,,,,,
Eval topic 2,188530,1,,,,,,,,,,
Eval topic 3,188531,1,,,,,,,,,,
Eval topic 4,188532,1,,,,,,,,,,
Eval topic 5,188533,1,,,,,,,,,,
Eval topic 6,188534,1,,,,,,,,,,
Eval topic 7,188535,1,,,,,,,,,,
Eval topic 8,188536,1,,,,,,,,,,
Eval topic 9,188537,1,,,,,,,,,,
Eval topic 10,188538,1,,,,,,,,,,
Disasters and Weather (Company List),188539,1,,,Disasters & Weather|Physical Threats - Disasters & Weather,410004|420034,,,Disasters & Weather,106677,,
Crime (Company List),188540,1,,,Crime|Physical Threats - Crime,410002|420033,,,Crime,247357,,
Conflicts (Company List),188541,1,,,Conflicts,410001,,,Conflicts,335630,,
Transportation and Infrastructure (Company List),188542,1,,,Transportation & Infrastructure,410010,,,Transportation & Infrastructure,726708,,
Threats - Corporate & Commercial (Company List),188543,1,,,Threats,410009,,,Threats|Threats|Threats,101669|500001|500007,,
Threats - Organizations (Company List),188544,1,,,Threats,410009,,,Threats|Threats|Threats,101669|500001|500007,,
Account Impersonation,188545,1,,,Account Impersonation,420000,,,Account Impersonation,962037,,
International Elections,188546,1,Politics & Policy - International Elections,67177469537839101,"Politics and International Affairs - International Elections|Government, Policy & Political Affairs - International Elections",204296875911565366|400035,,,"Government, Policy & Political Affairs - International Elections",962038,,
US Elections - Physical Security,188548,1,U.S. Elections - Public Safety,67177469537839104,U.S. Elections - Public Safety,204296875911565368,,,U.S. Elections - Physical Security,962040,,
US Elections - Politics,188547,1,U.S. Elections - Politics,67177469537839103,U.S. Elections - Politics,204296875911565369,,,U.S. Elections - Politics,962041,,
US Elections - Cybersecurity,188549,1,U.S. Elections - Cybersecurity,67177469537839102,U.S. Elections - Cybersecurity,204296875911565367,,,U.S. Elections - Cybersecurity,962039,,
Cyberattacks,188550,1,,,Cybersecurity - Cyberattacks,400027,,,Cybersecurity,962042,,
Intel Agencies & Counterintelligence,188551,1,,,Defense & Intel Developments - FIA,400029,,,,,,
Military - Tests & Exercises,188552,1,,,Defense & Intel Developments - Tests & Exercises,400032,,,,,,
Sanctions,188553,1,,,"Government, Policy & Political Affairs - Sanctions",400038,,,,,,
China - Economic,188554,1,,,Key Nation Economic Developments - China,400064,,,,,,
Iran - Economic,188555,1,,,Key Nation Economic Developments - Iran,400065,,,,,,
North Korea - Economic,188556,1,,,Key Nation Economic Developments - North Korea,400066,,,,,,
Russia - Economic,188557,1,,,Key Nation Economic Developments - Russia,400067,,,,,,
China - Military,188558,1,,,Key Nation Military - China,400068,,,,,,
Iran - Military,188559,1,,,Key Nation Military - Iran,400069,,,,,,
North Korea - Military,188560,1,,,Key Nation Military - North Korea,400070,,,,,,
Russia - Military,188561,1,,,Key Nation Military - Russia,400071,,,,,,
China - State Messaging,188562,1,,,Key Nation State Messaging - China,400072,,,,,,
